TransactionID,AccountID,TransactionDate,TransactionType,TransactionAmount,Country,IsFlagged,AccountBalance,BeneficiaryAccountID,TransactionDescription
68,3630708,2022-02-10,credit,1250.8474088653516,India,Normal,106438.03078326715,9177812,ATM withdrawal
69,4494679,2022-04-30,credit,17241.066955049097,Brazil,Normal,901301.1084700818,8665914,Online purchase
70,6517209,2022-02-21,credit,82023.74197397029,Russia,Normal,280446.969119845,2751474,Loan repayment
71,2767640,2022-07-14,transfer,33528.31631575257,China,Normal,76915.30091272343,7461653,Payment for services
72,7723771,2022-05-23,payment,9555.31324319584,Brazil,Normal,623567.3465743985,8768098,Transfer to savings
73,2285160,2022-08-21,payment,78502.06745061412,Russia,Normal,75399.62054615916,4678979,ATM withdrawal
74,7080526,2022-11-22,debit,45463.80472246519,Russia,Normal,70145.93437505736,6761250,Online purchase
75,6173036,2022-07-06,transfer,49246.15456367003,China,Normal,621608.3488206344,5964255,Loan repayment
76,2425472,2022-03-25,debit,18645.075187728966,Russia,Suspicious,591436.1046741108,9427739,Payment for services
77,1048984,2022-07-09,debit,66092.89644335338,India,Normal,41573.13922126512,3822930,Transfer to savings
78,7556168,2022-07-01,payment,55128.61939908054,China,Normal,460531.7866535051,8057743,ATM withdrawal
79,2504384,2022-04-18,transfer,20675.22704952969,China,Normal,435824.731075244,8868013,Online purchase
80,3230919,2022-12-10,credit,34039.747528836284,USA,Normal,546734.4607895848,9607276,Loan repayment
81,7940119,2022-05-17,payment,59691.959940743836,China,Normal,737870.9259657437,9482070,Payment for services
82,2737095,2022-12-26,transfer,92487.97682078667,China,Normal,282871.7675574379,1590596,Transfer to savings
83,5780450,2022-12-16,transfer,92038.43126864596,Germany,Normal,432837.0055554519,7685395,ATM withdrawal
84,8469344,2022-11-28,payment,28797.711380704324,India,Normal,792763.4100925289,8238262,Online purchase
85,3109818,2022-02-06,payment,73564.74156621088,Brazil,Normal,922564.1348215226,1144426,Loan repayment
86,3231785,2022-11-08,debit,77554.15286157571,USA,Suspicious,891333.8407525731,7530305,Payment for services
87,4853339,2022-11-22,debit,80884.22176727965,China,Normal,477683.1889988323,9753593,Transfer to savings
88,1996107,2022-03-29,debit,57080.52085230049,Germany,Normal,520913.71042240167,2881383,ATM withdrawal
89,8130144,2022-10-01,credit,1060.6947299777842,Germany,Normal,529152.5316079442,6865402,Online purchase
90,5545583,2022-05-06,payment,76170.01178177039,Russia,Normal,868728.698150514,7432451,Loan repayment
91,4747389,2022-03-25,transfer,10668.679008436711,Brazil,Normal,839955.512987307,2561534,Payment for services
92,5142807,2022-08-25,payment,11695.969908177978,Brazil,Normal,311601.3752924905,4847843,Transfer to savings
93,8988004,2022-07-14,transfer,60566.42401658881,India,Normal,162933.40445309307,3471309,ATM withdrawal
94,7245035,2022-05-19,credit,98352.21689731992,Russia,Normal,379036.6640359524,3305148,Online purchase
95,4602279,2022-11-24,payment,24261.521931847325,China,Normal,288477.5426110762,7649328,Loan repayment
96,6515989,2022-12-19,transfer,64584.62989632024,Germany,Suspicious,950785.646742428,3202770,Payment for services
97,3121690,2022-10-13,transfer,30372.328037302726,USA,Normal,265989.08787070774,9908235,Transfer to savings
98,1491234,2022-04-23,debit,89873.62409991687,India,Normal,181288.56105876286,1319658,ATM withdrawal
99,6401218,2022-12-17,credit,59355.75404246527,China,Normal,899489.1146529596,5881755,Online purchase
100,7914550,2022-06-16,payment,20755.65799237052,Russia,Normal,86569.95649563542,3901342,Loan repayment
101,7167294,2022-01-29,debit,26220.483734038375,Brazil,Normal,260340.02482131755,9767036,Payment for services
102,7906726,2022-04-28,credit,43253.74823450791,Russia,Normal,439167.2828811883,7743011,Transfer to savings
103,6888794,2022-01-17,debit,12213.135767360973,China,Normal,595147.867421866,9624268,ATM withdrawal
104,8558158,2022-06-11,payment,7882.54949266553,Russia,Normal,327740.129083669,9944809,Online purchase
105,7510425,2022-07-25,transfer,68009.33896083813,Brazil,Normal,496284.3735213129,1470240,Loan repayment
106,9511017,2022-05-18,payment,40722.43455829114,China,Normal,198911.30331196342,4506921,Payment for services
107,8887739,2022-02-03,credit,72625.316929109,USA,Normal,574316.6928134628,9354012,Transfer to savings
108,1769598,2022-04-19,payment,11014.719461757773,India,Normal,407876.0265988315,6503815,ATM withdrawal
109,6292895,2022-10-18,credit,60990.456134630556,Russia,Normal,849274.7612997235,2420536,Online purchase
110,8971379,2022-06-11,debit,44336.24626904035,Brazil,Suspicious,415792.55997531355,7120917,Loan repayment
111,4331068,2022-04-19,credit,5809.285459158286,USA,Normal,443871.03634026204,7867619,Payment for services
112,4256415,2022-12-02,transfer,54484.74980781493,Germany,Suspicious,592215.7718434783,2162838,Transfer to savings
113,1874371,2022-09-13,transfer,8289.599428707432,USA,Normal,123257.68707653375,4270536,ATM withdrawal
114,6654237,2022-07-22,transfer,82773.6975816229,USA,Normal,156879.49718861043,1790672,Online purchase
115,1973548,2022-11-26,debit,63199.42696434898,USA,Normal,790258.7234525176,4257081,Loan repayment
116,4344014,2022-08-23,credit,55701.18370070723,Brazil,Normal,273491.4372616331,1380354,Payment for services
117,8064746,2022-03-15,debit,13355.565756921207,Germany,Normal,684728.4592355632,7449472,Transfer to savings
118,7216204,2022-05-16,payment,28752.836779273257,India,Normal,97517.2272802044,9619155,ATM withdrawal
119,6193542,2022-03-13,payment,49292.66095455858,USA,Normal,821864.4756519813,4762881,Online purchase
120,3959034,2022-05-07,payment,63332.01852883241,Brazil,Normal,988229.2881078653,7477949,Loan repayment
121,5574293,2022-10-15,payment,18331.239567028137,Brazil,Suspicious,373753.57611326355,1207759,Payment for services
122,7706971,2022-10-03,transfer,896.5391505810034,India,Normal,505579.54890470515,9116109,Transfer to savings
123,1043585,2022-05-15,credit,34482.571125056864,China,Fraudulent,442767.70864181826,5810368,ATM withdrawal
124,3539448,2022-10-27,transfer,48292.316741078794,Germany,Normal,894198.3298641596,2772194,Online purchase
125,1109556,2022-08-08,credit,18451.506224624336,Germany,Normal,10033.044293109928,4468416,Loan repayment
126,2575557,2022-10-26,credit,49221.62893046203,Russia,Normal,653493.9752317197,8368516,Payment for services
127,9306461,2022-07-24,debit,33855.20099834118,USA,Normal,652403.0359762525,1253002,Transfer to savings
128,3009021,2022-07-05,payment,45514.41571397971,China,Normal,382446.76979712327,5605413,ATM withdrawal
129,2201482,2022-04-23,credit,34752.30048035361,Germany,Normal,219411.70875280286,2613567,Online purchase
130,1542335,2022-03-12,payment,62850.500300182146,Russia,Normal,239758.71314689418,4573975,Loan repayment
131,5270070,2022-09-18,payment,4299.272129247232,USA,Normal,800484.0748017697,5761695,Payment for services
132,7700379,2022-09-10,payment,17098.819941527912,China,Normal,66196.48606532154,9993974,Transfer to savings
133,4560920,2022-02-16,transfer,43280.75940240885,Brazil,Normal,563867.7638597315,3771855,ATM withdrawal
134,7860006,2022-01-25,payment,35636.108588030154,USA,Normal,306909.9189179677,8337582,Online purchase
135,3484413,2022-02-26,credit,39169.27927582217,China,Normal,265321.2876870736,2363390,Loan repayment
136,3907360,2022-03-20,transfer,80378.03188109917,India,Normal,505787.09176448284,5462663,Payment for services
137,6895544,2022-11-18,payment,88634.3025081541,Germany,Suspicious,897871.720129139,9144863,Transfer to savings
138,6697469,2022-03-23,debit,24874.39166192203,USA,Normal,618130.1098454271,9823701,ATM withdrawal
139,3235000,2022-12-15,payment,83640.74211802769,Russia,Normal,788631.7666925481,4679159,Online purchase
140,7908531,2022-08-05,payment,45884.39863038288,Brazil,Normal,600723.7108849547,7617139,Loan repayment
141,5322252,2022-11-02,transfer,27389.32372242922,Russia,Normal,697746.0082947534,2859055,Payment for services
142,6822184,2022-02-02,credit,98545.75253975778,USA,Normal,432464.4080284163,9839468,Transfer to savings
143,1402690,2022-07-17,payment,82481.9311255024,Germany,Normal,925989.0370446631,5422681,ATM withdrawal
144,3548421,2022-07-15,transfer,99425.38937546274,Germany,Normal,501988.826537117,6291234,Online purchase
145,2954109,2022-11-02,transfer,16827.39653498118,China,Normal,551819.4917598404,8587229,Loan repayment
146,5422880,2022-08-28,credit,14392.828968046388,Russia,Normal,525013.006704524,1930637,Payment for services
147,8205547,2022-09-28,transfer,50342.76151489448,Russia,Normal,316257.40126290196,3455804,Transfer to savings
148,9323735,2022-05-09,credit,63867.989565855045,Brazil,Normal,231315.31175562573,8570859,ATM withdrawal
149,7457294,2022-10-11,debit,17114.29865240983,China,Normal,73927.58061914345,4546031,Online purchase
150,2384250,2022-01-06,payment,86044.46250217338,Brazil,Normal,718203.1645043483,9277167,Loan repayment
151,1061087,2022-12-15,transfer,53206.0277315497,USA,Normal,289346.33564405376,3903941,Payment for services
152,7409907,2022-02-28,debit,41100.07390373254,USA,Normal,389259.0433992876,8016946,Transfer to savings
153,2496176,2022-12-16,transfer,60209.346755975246,Russia,Normal,919936.1699099401,6290840,ATM withdrawal
154,1039353,2022-10-02,transfer,63499.0217600992,China,Normal,566490.7046769325,9389607,Online purchase
155,7484531,2022-05-17,debit,4287.900265569576,India,Normal,97168.35609754786,1268482,Loan repayment
156,4360011,2022-11-25,transfer,99989.26774383787,Germany,Normal,799631.9516325673,6457914,Payment for services
157,8654909,2022-06-24,transfer,36398.318484679505,China,Normal,256204.9860495445,3655252,Transfer to savings
158,5259622,2022-02-27,debit,6163.64926452052,China,Normal,552750.5720619179,9676885,ATM withdrawal
159,5959617,2022-05-31,transfer,85233.79424580377,USA,Normal,510030.4767165042,6575820,Online purchase
160,6725570,2022-08-11,credit,99301.9377344391,Germany,Normal,238155.0344676455,2149016,Loan repayment
161,1416880,2022-03-22,transfer,81637.68733651686,China,Suspicious,115859.4576911016,8210794,Payment for services
162,8072695,2022-08-21,payment,85189.73016108597,USA,Normal,211340.48033431856,6796847,Transfer to savings
163,8433296,2022-01-02,transfer,62597.2520708029,USA,Normal,97428.0657840092,3243145,ATM withdrawal
164,5965050,2022-05-15,payment,92233.33456631108,Russia,Normal,275700.456150206,4591915,Online purchase
165,1813168,2022-09-14,payment,3583.497787229479,Russia,Normal,997297.7809863908,8877796,Loan repayment
166,1225281,2022-04-02,transfer,76674.71905679056,China,Normal,402152.0560148584,8412952,Payment for services
167,4782875,2022-09-17,debit,67074.31573112421,China,Normal,863902.0024958767,5633963,Transfer to savings
168,3995765,2022-02-24,credit,4968.0012026949835,USA,Normal,549222.7743598485,6062434,ATM withdrawal
169,8734102,2022-11-17,credit,54401.91816185817,Russia,Normal,666616.4210257996,6929490,Online purchase
170,6595108,2022-06-02,transfer,51510.88397232937,China,Normal,156432.33495358116,1580969,Loan repayment
171,6674719,2022-11-24,debit,69156.5071654469,Germany,Normal,274878.38683523325,2499576,Payment for services
172,9658144,2022-09-17,debit,7762.365846801163,USA,Normal,510492.37868662266,3182520,Transfer to savings
173,7609280,2022-11-08,credit,80529.82574498792,USA,Normal,881155.3198834179,3002415,ATM withdrawal
174,6500306,2022-04-12,debit,13948.950166730352,China,Normal,42983.74708135167,1733023,Online purchase
175,5372093,2022-03-20,transfer,41872.27470005265,China,Normal,506969.26756976434,5099010,Loan repayment
176,2561729,2022-07-11,transfer,88129.98787008859,China,Normal,51107.11128717907,8343895,Payment for services
177,6031595,2022-03-24,debit,56057.555233494684,Germany,Suspicious,456876.9941816376,9369579,Transfer to savings
178,6478047,2022-10-04,transfer,37965.29546633588,USA,Normal,628905.2725167036,6423848,ATM withdrawal
179,2119043,2022-09-29,payment,4829.74218216322,India,Normal,744748.7191091646,6372530,Online purchase
180,8103230,2022-01-01,credit,67230.62898500015,Germany,Normal,138618.15206010063,8814118,Loan repayment
181,3558231,2022-11-03,transfer,98654.81106302534,Germany,Normal,166658.62593300195,8148149,Payment for services
182,7659908,2022-06-15,debit,91180.52191185071,Russia,Normal,470117.9151996214,3672948,Transfer to savings
183,4080389,2022-09-08,credit,71732.43479656706,USA,Normal,998036.6543332761,5706072,ATM withdrawal
184,2661909,2022-01-10,transfer,10538.232897011943,India,Normal,356111.23097319773,2298533,Online purchase
185,3656138,2022-02-27,credit,23951.614939105413,USA,Normal,427584.674620174,2850827,Loan repayment
186,1110078,2022-07-05,debit,18693.03345513417,Germany,Normal,432503.49814027007,4264713,Payment for services
187,2915631,2022-06-07,payment,35552.609409161974,China,Normal,80792.75127495974,4022110,Transfer to savings
188,7314127,2022-05-03,payment,23559.367606875636,USA,Normal,774194.7280754664,2061735,ATM withdrawal
189,3008187,2022-01-30,transfer,24451.500202709605,USA,Normal,253176.21427366484,1705183,Online purchase
190,2659066,2022-05-04,payment,61676.82623818681,China,Normal,703696.6901772316,2062879,Loan repayment
191,3148815,2022-10-18,transfer,31877.078569578734,India,Normal,475142.36984770716,7628466,Payment for services
192,8355740,2022-02-10,credit,67719.51601848258,India,Suspicious,611818.5642451621,9970447,Transfer to savings
193,5506259,2022-02-13,transfer,94789.48701802659,USA,Suspicious,54066.239331346755,1262304,ATM withdrawal
194,8473915,2022-09-06,transfer,63851.406882157775,China,Normal,889976.6878481245,9301857,Online purchase
195,8658426,2022-02-05,transfer,75168.15115426501,Russia,Normal,243932.38374277137,7635314,Loan repayment
196,7404003,2022-09-30,payment,75160.52572413096,USA,Normal,670128.3779620869,4655214,Payment for services
197,5135314,2022-03-06,transfer,33076.97181204711,China,Normal,798039.3101549551,6679041,Transfer to savings
198,1910681,2022-03-07,debit,1505.6498793976155,Germany,Normal,540084.7134114688,4882844,ATM withdrawal
199,2607618,2022-12-04,transfer,5514.245819791502,Russia,Normal,337400.2886764163,7544554,Online purchase
200,4896830,2022-09-01,credit,28213.204485946997,China,Normal,977905.5841436287,3533993,Loan repayment
201,5336787,2022-10-09,debit,68957.42293392323,USA,Normal,278511.8692993685,9341200,Payment for services
202,3755423,2022-03-26,credit,90669.24703344276,Brazil,Normal,948667.4708895581,6232770,Transfer to savings
203,1071295,2022-05-16,credit,95880.23823645271,India,Normal,156308.5112713633,5255966,ATM withdrawal
204,8613287,2022-09-28,credit,2594.607897368944,USA,Normal,389283.20930919127,6611445,Online purchase
205,4445376,2022-11-07,debit,99008.82369082079,China,Normal,138581.7345888875,4969860,Loan repayment
206,6251035,2022-08-05,debit,32256.49686348581,Russia,Normal,2340.249026388645,7358141,Payment for services
207,4612600,2022-04-19,payment,84297.19326122917,Russia,Normal,260332.51454243524,4803647,Transfer to savings
208,1825816,2022-10-04,debit,18037.74311507107,China,Normal,87301.67987886282,9923265,ATM withdrawal
209,9763313,2022-12-20,transfer,6299.19677810985,India,Normal,986346.8885380381,1191171,Online purchase
210,3026793,2022-04-13,credit,37841.75885202813,USA,Normal,761677.1526200074,4441707,Loan repayment
211,1554594,2023-01-01,payment,85893.949599184,Russia,Normal,3804.4258423766178,3508581,Payment for services
212,9536326,2022-06-09,debit,22090.283338622827,Russia,Normal,223724.22016510976,6407642,Transfer to savings
213,4504473,2022-07-24,credit,15404.1930019267,Brazil,Normal,670157.2288595886,2947517,ATM withdrawal
214,8299695,2022-12-10,debit,90981.33485172955,Germany,Normal,398612.257953438,5320165,Online purchase
215,3204664,2022-11-29,payment,93834.3368901197,Brazil,Normal,831859.3787879229,3005945,Loan repayment
216,5341747,2022-07-11,debit,1264.6944368990034,Germany,Normal,504910.2922978941,3688573,Payment for services
217,1686976,2022-08-13,debit,72746.29938417401,Russia,Normal,653686.0545904558,1120397,Transfer to savings
218,3472189,2022-09-22,credit,30927.68157556737,Germany,Normal,597077.6938547211,9980753,ATM withdrawal
219,9506404,2022-08-20,transfer,37476.68995301929,USA,Normal,638205.0837335719,3079644,Online purchase
220,2241082,2022-03-03,debit,46915.606465399476,Russia,Normal,230175.8439417974,3947095,Loan repayment
221,6184502,2022-05-07,payment,42684.82910775021,Russia,Normal,373352.110262271,2928595,Payment for services
222,7561000,2022-04-26,debit,51502.228760360704,Germany,Normal,50724.18993920493,4460579,Transfer to savings
223,7671458,2022-02-02,debit,58240.34795684423,China,Normal,587677.7510367399,5670997,ATM withdrawal
224,5892306,2022-06-23,transfer,46564.894528744044,Germany,Normal,459312.536229568,4332256,Online purchase
225,4674515,2022-01-11,credit,70159.33841354685,Germany,Normal,760740.0774041703,1590893,Loan repayment
226,2579159,2022-10-29,payment,71862.98026758578,India,Normal,206461.82637517995,8491523,Payment for services
227,5515488,2022-10-11,credit,44041.51615064525,India,Normal,436868.434856195,1365652,Transfer to savings
228,7041495,2022-04-28,credit,14254.890177229987,USA,Normal,180827.3585140805,8711820,ATM withdrawal
229,9767088,2022-10-29,credit,64067.485742799065,USA,Normal,614017.8273259172,5253225,Online purchase
230,7324167,2022-04-23,debit,77297.9416679474,China,Normal,848045.4534858009,3251573,Loan repayment
231,1791971,2022-01-04,transfer,63814.57102518293,India,Normal,765466.7041241401,3259851,Payment for services
232,1501157,2022-02-06,debit,58809.59603702309,Brazil,Normal,944203.5528336242,7734807,Transfer to savings
233,5378727,2022-12-29,payment,22948.905003548287,USA,Suspicious,971728.6092854047,4774754,ATM withdrawal
234,5124499,2022-11-20,transfer,64517.252711517634,USA,Normal,772056.6641952324,5954450,Online purchase
235,6946594,2022-01-31,credit,33492.272895475435,India,Normal,286877.40477172064,7848008,Loan repayment
236,6106799,2022-04-28,transfer,91956.69069270037,India,Normal,219339.45107759672,7787605,Payment for services
237,5327576,2022-02-04,payment,65375.47207507048,China,Normal,447604.2796454888,1030627,Transfer to savings
238,5962140,2022-01-17,debit,27825.185874063183,India,Normal,993884.3062076629,3694516,ATM withdrawal
239,3799487,2022-06-19,debit,47297.96166729937,Germany,Normal,412726.75401507365,2932968,Online purchase
240,3904941,2022-02-06,credit,84659.66177574558,Russia,Normal,199148.50373121153,3448606,Loan repayment
241,8983441,2022-09-21,debit,33553.040478752926,Brazil,Normal,944348.4434954626,2766198,Payment for services
242,6320385,2022-05-02,debit,52548.802609536586,Russia,Normal,385979.38579826313,9500170,Transfer to savings
243,3100021,2022-05-23,payment,67970.20062541975,Germany,Normal,690929.7973389082,4229262,ATM withdrawal
244,7928040,2022-12-09,transfer,75455.3885892859,Germany,Normal,788174.1633167253,3786786,Online purchase
245,1618467,2022-09-06,debit,17397.478584723838,Russia,Normal,843171.5864693281,4575187,Loan repayment
246,6333152,2022-04-20,payment,56519.57894468213,Germany,Normal,821298.2590840781,3821305,Payment for services
247,8328141,2022-10-04,payment,91220.86805061517,USA,Normal,836263.23831368,8616292,Transfer to savings
248,6072148,2022-03-09,credit,96836.2945531543,Russia,Normal,667686.662235123,7847251,ATM withdrawal
249,2707923,2022-10-20,payment,65617.94280551023,Germany,Normal,403890.6861655327,1901495,Online purchase
250,6134207,2022-10-23,credit,98366.24380795697,USA,Normal,667320.1253784307,7409618,Loan repayment
251,9516999,2022-08-31,debit,57077.81754512432,India,Normal,836750.6606265072,9000145,Payment for services
252,7730886,2022-05-05,credit,44266.07692779552,Brazil,Normal,350707.4003779586,3428995,Transfer to savings
253,6853584,2022-08-31,payment,55163.23002023511,Brazil,Normal,296578.3394930109,1812988,ATM withdrawal
254,9170528,2022-07-28,transfer,11580.082302409573,Germany,Normal,343772.846383453,1795823,Online purchase
255,5301754,2022-04-08,transfer,40177.574809341924,Brazil,Suspicious,551328.2676897654,4875432,Loan repayment
256,3269042,2022-02-18,debit,45845.92125252257,USA,Normal,52538.63042646313,3959265,Payment for services
257,2983509,2022-02-19,debit,84864.29359411061,India,Normal,778992.9219349383,6907249,Transfer to savings
258,8740141,2022-12-04,transfer,75867.27278831729,Germany,Normal,138938.07325435692,5303829,ATM withdrawal
259,1116381,2022-08-09,credit,60146.64425662783,China,Normal,132925.37291842038,4125639,Online purchase
260,2521701,2022-07-01,debit,34734.25071527823,Russia,Normal,197739.3734421694,9290494,Loan repayment
261,7105525,2022-08-05,payment,18711.58822340878,Brazil,Normal,576969.742229001,9821946,Payment for services
262,4438618,2022-07-30,debit,34783.02444125364,Brazil,Normal,285639.8189663756,5361616,Transfer to savings
263,8913697,2022-08-28,credit,67983.60905520359,Germany,Normal,368153.5199536536,9033433,ATM withdrawal
264,3457184,2022-01-28,debit,26311.14953051246,Russia,Normal,931655.9460670301,6106976,Online purchase
265,5103022,2022-12-11,payment,42694.4007039595,Russia,Fraudulent,847217.4597589875,3656793,Loan repayment
266,2418175,2022-12-01,payment,38683.15578581939,Brazil,Normal,852205.314051472,5139285,Payment for services
267,4806688,2022-11-27,payment,76561.35047846811,Brazil,Normal,577684.0691426552,3242398,Transfer to savings
268,8265795,2022-02-20,credit,88379.86835539184,China,Normal,866479.5006757516,1533244,ATM withdrawal
269,4772962,2022-02-01,credit,69940.10197152958,Russia,Fraudulent,778587.9687580195,7616574,Online purchase
270,5041776,2022-07-26,payment,34166.81007069408,USA,Normal,953241.4792307712,8897569,Loan repayment
271,3727423,2022-06-23,payment,43323.37312709897,Germany,Normal,64461.96818141335,1277182,Payment for services
272,6709840,2022-02-25,credit,14343.581903831606,Germany,Normal,28824.260940567474,7568080,Transfer to savings
